ID,item_cnt_month
0,1.445
1,5.938
2,2.066
3,1.205
4,1.366
5,1.8955
6,2.527
7,1.859
8,5.938
9,1.445
10,3.637
11,2.543
12,1.0
13,2.398
14,3.66
15,4.316
16,1.615
17,1.002
18,3.637
19,2.229
20,3.02
21,1.289
22,2.984
23,1.961
24,2.148
25,1.134
26,1.073
27,1.531
28,2.277
29,4.746
30,1.8955
31,1.8125
32,1.798
33,3.648
34,1.736
35,1.08
36,0.7236
37,1.886
38,1.0
39,1.033
40,1.544
41,2.564
42,3.191
43,5.3
44,1.592
45,1.639
46,3.566
47,1.584
48,1.346
49,2.146
50,3.45
51,1.312
52,1.165
53,1.0
54,19.69
55,7.52
56,5.75
57,4.215
58,11.47
59,12.125
60,8.336
61,1.971
62,1.349
63,1.37
64,1.37
65,1.0
66,1.6875
67,1.055
68,1.563
69,1.531
70,1.363
71,4.895
72,1.112
73,5.383
74,20.0
75,18.17
76,1.541
77,20.0
78,1.744
79,2.287
80,2.61
81,4.996
82,3.656
83,1.461
84,2.445
85,1.888
86,1.685
87,1.198
88,6.89
89,3.924
90,1.82
91,1.06
92,5.656
93,1.09
94,3.42
95,1.0
96,1.0
97,1.436
98,1.805
99,8.805
100,8.375
101,2.28
102,1.316
103,1.12
104,1.0
105,1.403
106,1.152
107,5.55
108,1.0
109,1.068
110,1.367
111,1.242
112,1.195
113,1.162
114,1.53
115,1.221
116,1.18
117,1.0
118,11.47
119,1.0
120,1.889
121,1.041
122,1.411
123,1.853
124,1.995
125,1.513
126,1.642
127,1.703
128,1.7
129,1.0
130,1.04
131,1.037
132,3.463
133,10.96
134,1.02
135,1.32
136,1.212
137,2.625
138,1.545
139,1.545
140,1.4795
141,1.463
142,1.0
143,1.109
144,1.0
145,1.0
146,1.0
147,1.196
148,1.398
149,1.316
150,1.0
151,1.422
152,13.375
153,1.019
154,1.036
155,2.293
156,1.427
157,1.192
158,1.0
159,1.395
160,1.144
161,1.069
162,1.223
163,1.662
164,2.785
165,1.0
166,1.0
167,1.0
168,1.04
169,1.19
170,1.14
171,3.6
172,1.0
173,4.27
174,7.023
175,11.09
176,1.951
177,1.0
178,1.326
179,1.016
180,3.16
181,1.673
182,1.271
183,1.238
184,1.0
185,1.094
186,1.055
187,1.85
188,1.199
189,1.271
190,2.611
191,3.236
192,1.547
193,1.344
194,1.144
195,2.05
196,1.678
197,8.625
198,2.533
199,1.173
200,1.173
201,1.173
202,1.403
203,2.115
204,1.0
205,1.403
206,1.403
207,1.03
208,1.914
209,2.066
210,2.06
211,1.017
212,1.03
213,1.356
214,1.0
215,1.841
216,1.299
217,1.484
218,4.656
219,2.545
220,1.785
221,2.477
222,1.901
223,1.571
224,3.33
225,1.371
226,1.284
227,1.398
228,1.66
229,1.067
230,3.592
231,1.455
232,1.01
233,1.455
234,1.08
235,1.107
236,1.366
237,2.945
238,1.11
239,3.592
240,1.227
241,1.378
242,1.613
243,2.477
244,1.19
245,1.086
246,2.756
247,2.057
248,3.17
249,1.449
250,1.45
251,1.08
252,3.492
253,2.652
254,1.841
255,15.48
256,2.145
257,1.214
258,1.267
259,1.09
260,1.517
261,1.057
262,1.0
263,1.398
264,1.04
265,1.69
266,1.002
267,1.336
268,1.073
269,1.066
270,2.422
271,1.006
272,1.233
273,1.667
274,15.39
275,1.173
276,1.038
277,2.01
278,1.0
279,1.595
280,1.104
281,1.844
282,1.0
283,1.182
284,1.034
285,1.009
286,1.131
287,1.496
288,1.0
289,1.0
290,1.04
291,1.0
292,1.622
293,1.159
294,1.373
295,1.986
296,1.547
297,1.777
298,1.0
299,1.0
300,1.0
301,3.062
302,1.512
303,1.197
304,1.189
305,1.033
306,1.494
307,1.0
308,1.0
309,2.484
310,1.863
311,2.287
312,1.588
313,1.459
314,1.93
315,1.02
316,1.0
317,4.9
318,1.0
319,1.0
320,1.055
321,1.0
322,2.488
323,1.0
324,1.879
325,1.02
326,1.0
327,1.166
328,1.064
329,1.677
330,2.08
331,1.747
332,1.0
333,1.1045
334,1.96
335,1.181
336,1.006
337,1.541
338,1.0
339,1.312
340,1.031
341,1.392
342,1.682
343,2.76
344,1.0
345,1.204
346,4.5
347,2.467
348,1.311
349,1.442
350,1.054
351,1.472
352,2.03
353,1.965
354,2.283
355,1.04
356,1.073
357,1.498
358,1.171
359,1.118
360,1.172
361,3.736
362,1.842
363,1.891
364,2.855
365,1.03
366,1.07
367,1.07
368,1.12
369,1.0
370,1.503
371,1.155
372,1.62
373,1.046
374,3.057
375,2.229
376,1.765
377,1.02
378,1.202
379,1.399
380,4.703
381,1.0
382,1.0
383,1.08
384,2.39
385,1.215
386,1.013
387,1.42
388,1.194
389,1.0
390,2.436
391,1.095
392,2.139
393,1.424
394,2.06
395,1.401
396,2.697
397,4.055
398,1.03
399,1.0
400,1.176
401,1.706
402,2.543
403,2.982
404,1.462
405,1.239
406,1.0
407,1.396
408,1.391
409,1.545
410,1.0
411,2.39
412,2.232
413,1.0
414,1.0
415,5.11
416,1.545
417,1.545
418,1.545
419,1.515
420,1.515
421,4.03
422,1.137
423,1.313
424,1.001
425,1.503
426,2.734
427,1.3
428,2.594
429,3.607
430,2.414
431,1.241
432,1.002
433,1.003
434,1.0
435,1.574
436,1.2
437,1.252
438,1.862
439,1.267
440,1.482
441,3.762
442,1.155
443,1.976
444,1.18
445,1.826
446,1.767
447,1.979
448,1.087
449,1.541
450,1.14
451,1.528
452,1.05
453,1.039
454,2.137
455,1.08
456,1.474
457,1.0
458,2.576
459,1.531
460,20.0
461,2.633
462,1.186
463,1.984
464,2.18
465,0.989
466,1.009
467,0.989
468,1.107
469,3.367
470,1.265
471,2.08
472,1.014
473,1.317
474,3.0
475,3.32
476,1.042
477,1.0
478,1.231
479,1.28
480,1.36
481,1.584
482,1.042
483,1.0
484,1.608
485,1.527
486,2.717
487,1.0
488,1.025
489,2.768
490,1.0
491,1.005
492,1.409
493,1.158
494,1.341
495,1.0
496,1.022
497,1.12
498,12.5
499,1.98
500,1.98
501,1.098
502,1.835
503,1.303
504,5.395
505,2.7
506,3.732
507,1.307
508,2.635
