ID,item_cnt_month
0,1.782
1,1.25
2,2.15
3,1.442
4,1.174
5,1.717
6,2.658
7,0.974
8,1.25
9,1.586
10,3.918
11,4.01
12,1.13
13,0.8887
14,2.441
15,2.012
16,1.432
17,1.181
18,1.935
19,1.058
20,1.082
21,1.056
22,2.873
23,1.056
24,1.56
25,1.447
26,1.191
27,1.299
28,1.684
29,5.375
30,1.271
31,1.271
32,1.488
33,1.524
34,1.02
35,0.813
36,0.848
37,1.524
38,1.166
39,1.29
40,1.54
41,2.604
42,4.188
43,6.16
44,2.93
45,1.705
46,1.705
47,1.429
48,1.554
49,1.931
50,2.525
51,1.54
52,0.981
53,1.277
54,8.28
55,9.36
56,5.867
57,4.523
58,11.78
59,16.95
60,9.3
61,1.208
62,1.15
63,1.124
64,1.124
65,1.596
66,1.35
67,1.014
68,2.283
69,1.848
70,1.075
71,4.082
72,1.206
73,1.975
74,14.766
75,8.76
76,1.172
77,14.766
78,2.406
79,2.36
80,3.14
81,6.203
82,5.23
83,1.427
84,1.517
85,1.487
86,1.487
87,0.8394
88,2.266
89,1.475
90,1.621
91,1.621
92,2.928
93,1.327
94,1.757
95,1.003
96,1.361
97,1.459
98,1.354
99,2.283
100,2.111
101,2.129
102,1.074
103,2.34
104,0.9956
105,1.119
106,1.019
107,1.408
108,1.022
109,1.022
110,1.188
111,1.11
112,1.11
113,1.11
114,0.998
115,1.244
116,1.063
117,1.154
118,9.375
119,1.204
120,1.27
121,1.27
122,1.27
123,1.283
124,1.33
125,1.329
126,1.27
127,1.1
128,1.1
129,1.092
130,2.176
131,1.058
132,2.422
133,18.14
134,1.204
135,2.236
136,2.21
137,2.947
138,1.846
139,1.846
140,1.0625
141,1.155
142,1.097
143,1.571
144,1.07
145,1.07
146,1.07
147,1.094
148,1.094
149,1.009
150,1.065
151,1.518
152,14.13
153,1.067
154,1.095
155,1.095
156,1.113
157,1.113
158,1.113
159,1.113
160,2.059
161,1.023
162,1.53
163,1.49
164,1.257
165,0.9976
166,1.091
167,0.9976
168,1.002
169,0.9976
170,1.023
171,1.482
172,1.16
173,2.86
174,2.484
175,3.473
176,1.922
177,0.9946
178,1.123
179,1.123
180,3.1
181,1.112
182,1.112
183,1.124
184,1.031
185,1.031
186,1.113
187,1.063
188,1.063
189,1.063
190,1.504
191,2.98
192,1.809
193,1.134
194,1.139
195,1.139
196,1.835
197,3.797
198,1.763
199,1.174
200,1.174
201,1.174
202,1.857
203,2.348
204,1.57
205,1.142
206,1.142
207,1.142
208,1.943
209,1.125
210,1.125
211,1.112
212,1.112
213,1.2
214,1.1045
215,1.246
216,1.246
217,1.246
218,2.328
219,1.174
220,1.244
221,1.174
222,1.482
223,1.587
224,2.834
225,1.787
226,1.34
227,1.253
228,1.253
229,1.158
230,1.693
231,1.757
232,1.105
233,1.091
234,1.091
235,1.198
236,1.265
237,1.3125
238,1.214
239,1.693
240,1.12
241,1.379
242,1.2
243,1.174
244,1.089
245,1.192
246,2.203
247,1.461
248,1.587
249,1.101
250,1.433
251,1.36
252,1.408
253,2.84
254,1.247
255,16.44
256,1.657
257,1.253
258,1.2295
259,1.053
260,1.053
261,1.053
262,1.102
263,0.8667
264,1.228
265,1.468
266,1.032
267,3.217
268,2.592
269,1.461
270,2.021
271,1.241
272,1.268
273,1.95
274,17.25
275,1.207
276,0.999
277,2.16
278,1.117
279,1.893
280,1.234
281,1.186
282,1.242
283,1.245
284,1.232
285,1.129
286,1.112
287,1.583
288,1.098
289,1.102
290,1.102
291,1.1875
292,1.384
293,1.11
294,1.15
295,2.418
296,1.54
297,1.372
298,1.119
299,1.071
300,1.035
301,1.386
302,1.419
303,1.17
304,1.17
305,1.039
306,1.089
307,1.047
308,1.003
309,1.657
310,1.657
311,1.779
312,1.496
313,1.217
314,1.607
315,1.517
316,1.287
317,4.883
318,1.095
319,1.095
320,1.074
321,1.206
322,2.008
323,0.9893
324,1.889
325,1.791
326,1.113
327,1.117
328,1.13
329,1.13
330,1.086
331,1.018
332,1.064
333,1.064
334,1.833
335,1.166
336,1.249
337,1.382
338,1.027
339,1.6
340,1.112
341,1.264
342,1.18
343,1.799
344,1.406
345,1.122
346,5.16
347,3.182
348,1.373
349,1.563
350,1.48
351,1.544
352,2.164
353,1.31
354,1.642
355,1.31
356,1.556
357,1.67
358,0.9976
359,1.549
360,1.594
361,3.94
362,1.544
363,1.575
364,1.239
365,1.401
366,1.143
367,1.143
368,0.993
369,1.665
370,1.061
371,2.586
372,2.236
373,0.931
374,2.38
375,3.33
376,2.307
377,1.097
378,1.225
379,1.276
380,5.38
381,1.393
382,1.393
383,1.303
384,2.23
385,1.187
386,1.392
387,1.332
388,1.143
389,1.143
390,1.832
391,1.438
392,1.015
393,1.404
394,1.447
395,2.383
396,2.752
397,1.505
398,1.194
399,1.35
400,0.9307
401,0.976
402,2.754
403,4.168
404,1.85
405,1.237
406,1.132
407,1.237
408,0.93
409,1.155
410,1.04
411,1.949
412,1.2705
413,1.265
414,1.112
415,4.2
416,1.155
417,1.155
418,1.155
419,1.171
420,1.171
421,3.82
422,1.197
423,1.657
424,1.138
425,1.239
