ID,item_cnt_month
0,2.076
1,2.389
2,1.667
3,1.16
4,1.117
5,1.032
6,2.53
7,1.0
8,2.389
9,1.55
10,3.387
11,2.0
12,1.54
13,1.03
14,2.354
15,2.951
16,2.064
17,1.1
18,1.98
19,1.36
20,1.026
21,1.095
22,1.077
23,1.26
24,2.63
25,1.22
26,1.46
27,2.004
28,1.323
29,4.777
30,1.171
31,1.356
32,1.502
33,2.021
34,1.271
35,1.0
36,1.35
37,1.438
38,1.066
39,1.418
40,1.525
41,1.9
42,3.932
43,4.95
44,1.596
45,1.24
46,1.877
47,1.1
48,1.317
49,1.484
50,3.605
51,1.352
52,1.64
53,1.146
54,7.496
55,7.438
56,7.094
57,4.457
58,10.72
59,13.77
60,8.9
61,1.0
62,1.444
63,1.0
64,1.0
65,1.02
66,1.979
67,1.722
68,1.505
69,2.14
70,1.0
71,4.6
72,1.1
73,1.524
74,10.305
75,7.688
76,1.0
77,10.305
78,2.129
79,2.45
80,4.21
81,9.2
82,4.56
83,1.997
84,2.441
85,1.94
86,1.36
87,1.0
88,3.648
89,1.923
90,1.91
91,1.36
92,3.88
93,1.0
94,1.236
95,1.0
96,1.04
97,1.495
98,1.005
99,2.678
100,1.99
101,2.22
102,1.56
103,1.26
104,1.02
105,1.66
106,1.1
107,1.601
108,1.165
109,1.055
110,1.729
111,1.44
112,1.4
113,1.28
114,1.035
115,1.0
116,1.14
117,1.02
118,12.81
119,1.14
120,1.02
121,1.0
122,1.0
123,1.09
124,2.254
125,1.543
126,1.228
127,1.42
128,1.3
129,1.28
130,1.147
131,1.014
132,4.06
133,13.0
134,1.313
135,1.446
136,1.146
137,2.3
138,1.6455
139,1.6455
140,1.017
141,1.397
142,1.08
143,1.06
144,1.0
145,1.0
146,1.0
147,1.25
148,1.247
149,1.0
150,1.02
151,2.06
152,15.14
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.033
159,1.0
160,1.16
161,1.0
162,1.38
163,1.113
164,1.019
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.6455
172,1.2
173,2.084
174,2.342
175,3.422
176,2.693
177,1.29
178,1.03
179,1.03
180,2.69
181,1.043
182,1.264
183,1.127
184,1.04
185,1.04
186,1.48
187,1.04
188,1.08
189,1.08
190,2.64
191,3.227
192,1.629
193,1.0
194,1.0
195,1.0
196,1.4
197,4.562
198,1.84
199,0.986
200,0.986
201,0.986
202,1.244
203,2.271
204,1.445
205,1.02
206,1.02
207,1.0
208,3.58
209,1.0
210,1.025
211,1.0
212,1.0
213,1.273
214,1.04
215,1.06
216,1.0
217,1.14
218,2.094
219,0.895
220,1.34
221,0.9307
222,1.39
223,1.642
224,5.105
225,1.616
226,1.02
227,1.346
228,1.66
229,1.22
230,1.229
231,1.12
232,1.0
233,0.948
234,1.0
235,1.02
236,1.248
237,1.45
238,1.02
239,1.229
240,1.315
241,1.087
242,1.765
243,0.9307
244,1.0
245,1.04
246,2.344
247,2.44
248,1.146
249,1.227
250,1.504
251,1.02
252,1.852
253,2.336
254,1.103
255,13.84
256,1.77
257,1.816
258,1.188
259,1.02
260,1.31
261,1.31
262,1.09
263,1.11
264,1.16
265,1.13
266,1.264
267,2.068
268,1.8
269,1.414
270,2.531
271,1.02
272,1.0
273,2.12
274,16.45
275,1.78
276,1.0
277,3.156
278,1.08
279,1.16
280,1.066
281,1.24
282,1.035
283,1.409
284,1.004
285,1.0
286,1.0
287,1.679
288,1.0
289,1.04
290,1.26
291,1.48
292,1.747
293,1.32
294,1.447
295,2.816
296,1.858
297,1.2
298,1.015
299,1.02
300,1.01
301,1.14
302,2.008
303,1.509
304,1.64
305,1.0
306,0.92
307,1.028
308,1.0
309,2.08
310,1.47
311,1.755
312,1.399
313,1.0
314,1.537
315,1.1
316,1.06
317,5.18
318,1.02
319,1.054
320,1.03
321,1.634
322,2.229
323,1.094
324,1.04
325,1.079
326,1.0
327,1.04
328,1.0
329,1.0
330,1.14
331,1.02
332,1.02
333,1.0
334,1.94
335,1.08
336,1.765
337,1.96
338,1.0
339,1.512
340,1.144
341,1.096
342,1.035
343,2.25
344,1.219
345,1.0
346,6.617
347,4.523
348,1.784
349,1.02
350,1.24
351,1.931
352,1.744
353,1.176
354,2.42
355,1.108
356,1.198
357,1.557
358,1.0
359,1.104
360,1.285
361,5.484
362,1.87
363,2.0
364,1.072
365,1.026
366,1.239
367,1.239
368,1.12
369,1.233
370,1.16
371,1.198
372,1.894
373,1.02
374,2.947
375,5.344
376,2.94
377,1.0
378,1.04
379,1.648
380,4.438
381,1.0
382,1.0
383,1.0
384,3.145
385,1.0
386,1.0
387,1.42
388,1.1
389,1.04
390,2.373
391,1.386
392,1.508
393,1.443
394,2.18
395,3.072
396,2.275
397,1.153
398,1.0
399,1.0
400,1.0
401,1.0
402,3.162
403,4.29
404,1.12
405,1.207
406,1.125
407,1.394
408,1.0
409,1.32
410,1.1
411,2.414
412,1.01
413,1.05
414,1.6
415,4.887
416,1.32
417,1.32
418,1.32
419,1.0
420,1.0
421,4.32
422,1.04
423,2.559
424,1.2
425,1.25
426,1.25
427,1.34
428,3.156
429,2.266
430,1.671
431,1.708
432,1.0
433,1.0
434,1.16
435,1.369
436,1.0
437,1.456
438,1.0
439,1.56
440,1.0
441,0.96
442,1.19
443,1.34
444,1.16
445,1.717
446,1.131
447,1.04
448,1.04
449,1.486
450,1.193
451,1.1
452,1.21
453,1.108
454,1.352
455,1.24
456,1.127
457,1.1
458,2.178
459,0.968
460,20.0
461,2.627
462,1.228
463,1.417
464,2.6
465,1.0
466,1.02
467,1.06
468,1.02
469,1.04
470,1.42
471,1.18
472,1.0
473,1.0
474,2.88
475,3.42
476,1.026
477,1.294
478,1.0
479,1.34
480,1.92
481,2.46
482,1.04
483,1.037
484,1.332
485,1.179
486,1.555
487,1.18
488,1.573
489,3.027
490,1.175
491,1.17
492,1.462
493,1.0
494,1.145
495,1.348
496,1.06
497,1.22
498,11.86
499,1.88
500,1.88
501,1.04
502,1.085
503,1.34
504,1.459
505,2.438
506,1.96
507,1.0
508,2.662
509,1.12
510,1.04
511,1.044
512,1.0
513,1.048
514,1.14
515,1.06
516,1.046
517,1.956
518,2.002
519,1.085
520,2.531
521,1.0
522,1.469
523,3.43
524,1.0
525,1.768
526,1.0
527,0.886
528,1.0
529,1.201
530,1.333
531,1.497
532,1.0
533,1.0
534,1.0
535,0.98
536,1.72
537,1.26
538,1.88
539,1.6
540,2.18
541,1.32
542,1.74
543,1.52
544,1.16
545,1.26
546,1.04
547,1.2
548,1.35
549,1.974
550,1.768
551,1.768
552,1.06
553,1.462
554,1.391
555,2.07
556,1.38
557,1.04
558,1.0
559,1.18
560,1.0
561,3.475
562,1.0
563,1.06
564,1.0
565,1.12
566,1.12
567,1.08
568,1.139
569,1.773
570,1.337
571,1.8
572,1.319
573,1.026
574,1.0
575,1.0
576,1.0
577,1.004
578,1.04
579,1.04
580,1.026
581,1.026
582,1.026
583,1.026
584,1.358
585,1.32
586,1.55
587,1.902
588,3.162
589,1.62
590,1.529
591,1.1
592,3.572
593,1.153
594,1.025
595,1.043
596,1.0
597,1.187
598,1.14
599,1.0
600,1.0
601,1.08
602,1.02
603,1.297
604,1.06
605,1.054
606,1.424
607,1.444
608,1.0
609,1.514
610,1.79
611,1.93
612,1.184
613,1.184
614,1.0
615,2.227
616,1.48
617,1.023
618,1.0
619,1.0
620,1.74
621,1.977
622,2.033
623,1.317
624,1.1
625,1.963
626,1.41
627,1.205
628,1.155
629,1.0
630,1.04
631,1.04
632,1.04
633,1.462
634,1.067
635,2.373
636,1.0
637,1.0
638,1.02
639,1.02
640,1.02
641,1.629
642,1.02
643,1.0
644,1.0
645,1.558
646,1.558
647,0.8
648,1.08
649,1.01
650,1.0
651,1.698
652,1.033
653,1.0
654,1.36
655,1.12
656,3.008
657,1.103
658,1.295
659,1.035
660,1.035
661,1.0
662,1.0
663,1.36
664,1.127
665,1.0
666,1.159
667,1.159
668,1.94
669,1.162
670,1.33
671,1.15
672,1.02
673,1.603
674,1.87
675,1.614
676,2.754
677,1.407
678,1.1045
679,4.43
680,1.0
681,1.0
682,1.06
683,10.72
684,1.68
685,1.52
686,1.8
687,1.219
688,1.6
689,1.02
690,1.12
691,1.04
692,1.0
693,1.0
694,1.56
695,1.417
696,1.197
697,1.054
698,1.368
699,1.852
700,3.174
701,2.84
702,3.0
703,2.88
704,1.577
705,1.08
706,1.0
707,1.0
708,1.047
709,3.652
710,1.481
711,1.447
712,1.047
713,1.806
714,1.575
715,1.0
716,1.0
717,1.0
718,1.134
719,1.035
720,1.095
721,1.095
722,1.889
723,3.12
724,1.0
725,1.0
726,2.67
727,2.2
