ID,item_cnt_month
0,1.14
1,1.0
2,1.06
3,1.08
4,1.0
5,1.18
6,2.24
7,1.26
8,1.0
9,1.38
10,3.42
11,1.58
12,1.54
13,1.74
14,2.22
15,4.46
16,3.86
17,1.04
18,1.76
19,1.38
20,1.16
21,1.1
22,2.1
23,1.06
24,2.56
25,1.18
26,1.28
27,1.04
28,1.82
29,6.6
30,0.44
31,1.64
32,1.96
33,2.22
34,1.06
35,1.74
36,2.66
37,1.74
38,1.2
39,1.16
40,1.1
41,1.26
42,4.32
43,3.82
44,2.36
45,2.46
46,3.18
47,1.58
48,1.82
49,1.8
50,1.24
51,1.28
52,1.56
53,1.66
54,6.82
55,3.72
56,1.16
57,2.52
58,7.7
59,5.9
60,7.98
61,1.06
62,1.04
63,1.0
64,1.0
65,1.36
66,1.0
67,1.0
68,1.02
69,1.02
70,1.6
71,3.54
72,1.0
73,1.0
74,11.3
75,7.56
76,1.08
77,11.54
78,1.28
79,1.64
80,2.4
81,2.36
82,1.8
83,1.26
84,1.1
85,1.56
86,1.24
87,1.24
88,4.06
89,2.24
90,1.96
91,1.36
92,2.36
93,1.46
94,1.88
95,1.44
96,1.38
97,1.1
98,1.2
99,2.7
100,2.02
101,2.24
102,1.24
103,1.24
104,1.0
105,1.48
106,1.04
107,1.68
108,1.34
109,1.3
110,1.14
111,1.16
112,1.16
113,1.18
114,1.12
115,1.0
116,1.64
117,1.02
118,6.5
119,1.8
120,1.08
121,1.04
122,1.04
123,1.2
124,1.62
125,2.4
126,1.3
127,1.84
128,1.7
129,1.22
130,1.16
131,1.08
132,3.08
133,20.0
134,1.88
135,1.78
136,1.22
137,1.64
138,1.96
139,1.96
140,1.02
141,1.06
142,1.08
143,1.44
144,2.74
145,2.74
146,2.74
147,1.74
148,1.74
149,1.16
150,2.2
151,1.76
152,13.98
153,1.0
154,1.0
155,1.0
156,1.02
157,1.02
158,1.0
159,1.0
160,1.06
161,1.02
162,1.44
163,1.28
164,1.42
165,1.0
166,1.02
167,1.0
168,1.0
169,1.14
170,1.02
171,1.2
172,1.04
173,1.92
174,1.64
175,4.12
176,2.18
177,1.32
178,1.04
179,1.04
180,2.68
181,1.06
182,1.04
183,1.0
184,1.0
185,1.0
186,1.0
187,1.6
188,1.3
189,1.3
190,1.68
191,1.38
192,1.9
193,1.16
194,1.16
195,1.16
196,1.56
197,2.14
198,2.46
199,1.44
200,1.44
201,1.44
202,1.24
203,1.8
204,1.52
205,1.32
206,1.32
207,1.16
208,3.62
209,1.08
210,1.0
211,1.0
212,1.0
213,1.16
214,1.0
215,1.06
216,1.06
217,1.62
218,1.64
219,1.32
220,1.1
221,1.4
222,1.3
223,1.1
224,2.98
225,2.74
226,1.22
227,1.44
228,2.26
229,1.0
230,2.36
231,1.34
232,1.14
233,1.0
234,1.02
235,1.1
236,1.04
237,1.12
238,1.06
239,2.36
240,1.66
241,1.34
242,1.06
243,1.4
244,1.02
245,1.28
246,3.82
247,1.54
248,1.22
249,1.22
250,1.8
251,1.5
252,1.1
253,1.12
254,1.16
255,14.9
256,1.84
257,1.54
